Date,Action,Price,Reason,Profit,Capital
2026-01-07,BUY,4815.8,MACD上抜け,0.0,1.0
2026-01-21,SELL,4842.6,トレーリングストップ,26.8,1.0056
2026-01-29,BUY,4782.0,押し目買い,0.0,1.0056
2026-02-16,SELL,5498.9,トレーリングストップ,716.9,1.1563
2026-03-09,BUY,5140.9,押し目買い,0.0,1.1563
2026-03-23,SELL,5153.9,トレーリングストップ,13.0,1.1592
2026-04-09,BUY,5670.0,MACD上抜け,0.0,1.1592
2026-04-23,SELL,5783.6,トレーリングストップ,113.6,1.1825
2026-05-27,BUY,6650.0,ゴールデンクロス,0.0,1.1825
2026-05-29,SELL,6317.5,ハードストップ,-332.5,1.1233
2026-06-22,BUY,6121.0,MACD上抜け,0.0,1.1233
2026-06-23,HOLDING,6104.0,POS_OPEN,0.0,1.1233
