Date,Action,Price,Reason,Profit,Capital
2025-12-16,BUY,4053.5,押し目買い,0.0,1.0
2025-12-18,SELL,3794.2,ハードストップ,-259.3,0.936
2026-01-06,BUY,4208.0,MACD上抜け,0.0,0.936
2026-01-23,SELL,4622.8,トレーリングストップ,414.8,1.0283
2026-02-10,BUY,4987.8,MACD上抜け,0.0,1.0283
2026-02-24,SELL,4738.4,ハードストップ,-249.4,0.9769
2026-02-26,BUY,4856.2,押し目買い,0.0,0.9769
2026-03-03,SELL,4921.2,トレーリングストップ,65.0,0.99
2026-03-19,BUY,4893.1,MACD上抜け,0.0,0.99
2026-03-24,SELL,4586.9,ハードストップ,-306.2,0.928
2026-04-06,BUY,4827.0,MACD上抜け,0.0,0.928
2026-04-15,SELL,4585.6,ハードストップ,-241.4,0.8816
2026-04-27,BUY,4724.0,MACD上抜け,0.0,0.8816
2026-05-07,SELL,4487.8,ハードストップ,-236.2,0.8375
2026-06-10,BUY,3669.0,MACD上抜け,0.0,0.8375
2026-06-12,HOLDING,3540.0,POS_OPEN,0.0,0.8375
