Date,Action,Price,Reason,Profit,Capital
2026-03-26,BUY,4530.5,押し目買い,0.0,1.0
2026-04-10,SELL,4546.0,トレーリングストップ,15.5,1.0034
2026-04-13,BUY,4534.0,押し目買い,0.0,1.0034
2026-04-23,SELL,4724.6,トレーリングストップ,190.6,1.0456
2026-04-27,BUY,4768.0,押し目買い,0.0,1.0456
2026-04-30,SELL,4569.2,ハードストップ,-198.8,1.002
2026-05-19,BUY,4803.0,MACD上抜け,0.0,1.002
2026-05-25,SELL,4581.9,ハードストップ,-221.1,0.9559
2026-06-02,BUY,4900.0,ゴールデンクロス,0.0,0.9559
2026-06-04,SELL,4445.0,ハードストップ,-455.0,0.8671
2026-06-09,BUY,4520.0,押し目買い,0.0,0.8671
2026-06-12,SELL,4310.0,ハードストップ,-210.0,0.8268
2026-07-01,BUY,4253.0,MACD上抜け,0.0,0.8268
2026-07-31,SELL,4814.2,トレーリングストップ,561.2,0.9359
2026-08-26,BUY,4671.0,MACD上抜け,0.0,0.9359
2026-09-24,HOLDING,4793.0,POS_OPEN,0.0,0.9359
