Date,Action,Price,Reason,Profit,Capital
2026-01-07,BUY,1554.1,MACD上抜け,0.0,1.0
2026-01-21,SELL,1620.9,トレーリングストップ,66.8,1.043
2026-01-29,BUY,1606.7,押し目買い,0.0,1.043
2026-02-17,SELL,2008.8,トレーリングストップ,402.1,1.304
2026-04-06,BUY,1788.0,MACD上抜け,0.0,1.304
2026-04-22,SELL,1666.8,ハードストップ,-121.2,1.2156
2026-04-30,BUY,1792.0,MACD上抜け,0.0,1.2156
2026-05-14,SELL,1988.9,トレーリングストップ,196.9,1.3492
2026-06-16,BUY,1801.5,MACD上抜け,0.0,1.3492
2026-06-25,SELL,1677.8,ハードストップ,-123.7,1.2565
2026-07-06,BUY_SIGNAL,1757.0,MACD上抜け,0.0,1.2565
