Date,Action,Price,Reason,Profit,Capital
2025-12-08,BUY,1818.0,MACD上抜け,0.0,1.0
2025-12-16,SELL,1668.6,ハードストップ,-149.4,0.9178
2026-01-06,BUY,1685.0,MACD上抜け,0.0,0.9178
2026-01-21,SELL,1706.0,トレーリングストップ,21.0,0.9293
2026-01-27,BUY,1741.0,押し目買い,0.0,0.9293
2026-03-04,SELL,2073.2,トレーリングストップ,332.2,1.1066
2026-03-12,BUY,2080.0,ゴールデンクロス,0.0,1.1066
2026-03-23,SELL,2262.4,トレーリングストップ,182.4,1.2036
2026-04-07,BUY,2423.0,ゴールデンクロス,0.0,1.2036
2026-04-15,SELL,2497.2,トレーリングストップ,74.2,1.2405
2026-05-01,BUY,2520.0,押し目買い,0.0,1.2405
2026-06-01,SELL,3644.0,トレーリングストップ,1124.0,1.7938
