Date,Action,Price,Reason,Profit,Capital
2026-03-18,BUY,4131.1,押し目買い,0.0,1.0
2026-03-23,SELL,3874.9,ハードストップ,-256.2,0.938
2026-04-02,BUY,4095.0,MACD上抜け,0.0,0.938
2026-04-10,SELL,3891.9,ハードストップ,-203.1,0.8915
2026-04-17,BUY,4375.0,ゴールデンクロス,0.0,0.8915
2026-04-30,SELL,4149.4,ハードストップ,-225.6,0.8455
2026-06-02,BUY,4469.0,MACD上抜け,0.0,0.8455
2026-06-04,SELL,4203.0,ハードストップ,-266.0,0.7952
2026-06-05,BUY,4265.0,押し目買い,0.0,0.7952
2026-06-09,SELL,4011.4,ハードストップ,-253.6,0.7479
2026-06-30,BUY,4045.0,MACD上抜け,0.0,0.7479
2026-08-04,SELL,4592.4,トレーリングストップ,547.4,0.8491
2026-08-20,BUY,4732.0,押し目買い,0.0,0.8491
2026-09-07,SELL,4682.0,トレーリングストップ,-50.0,0.8401
2026-09-17,BUY_SIGNAL,4896.0,MACD上抜け,0.0,0.8401
